name,pos,team,salary,proj_points,lineup_k
M Stafford,QB,LAR,5900,19.59933344205221,21
C McCaffrey,RB,SF,7300,17.87746631761392,21
J Gibbs,RB,DET,7700,20.51999999364217,21
D Adams,WR,LAR,6100,22.962999471823377,21
S Diggs,WR,NE,5300,21.978533638424345,21
J Jefferson,WR,TEN,3400,21.59230000400543,21
C Tillman,WR,CLE,4400,22.00333368215296,21
T Hill,TE,NO,3700,14.33166687409083,21
New York Jets,DST,NYJ,2800,8.790878532379452,21
