name,pos,team,salary,proj_points,lineup_k
R Wilson,QB,NYG,5000,16.497666695912677,29
J Conner,RB,ARI,6100,18.261333196957903,29
J Jacobs,RB,GB,6700,19.079266536712645,29
J Jefferson,WR,TEN,3400,21.59230000400543,29
J Waddle,WR,MIA,5700,20.539883596923616,29
A St. Brown,WR,DET,7100,20.853033114194872,29
M Nabers,WR,NYG,7000,20.43223380708695,29
T Hill,TE,NO,3700,14.33166687409083,29
New York Jets,DST,NYJ,2800,8.790878532379452,29
