name,pos,team,salary,proj_points,lineup_k
M Stafford,QB,LAR,5900,19.59933344205221,22
J Conner,RB,ARI,6100,18.261333196957903,22
J Gibbs,RB,DET,7700,20.51999999364217,22
D Adams,WR,LAR,6100,22.962999471823377,22
S Diggs,WR,NE,5300,21.978533638424345,22
C Tillman,WR,CLE,4400,22.00333368215296,22
J Downs,WR,IND,4600,19.76573314809799,22
T Hill,TE,NO,3700,14.33166687409083,22
Tampa Bay Buccaneers,DST,TB,3000,9.517069336620532,22
