name,pos,team,salary,proj_points,lineup_k
Bijan Robinson,RB,ATL,8000,22.473333582083384,1
Puka Nacua,WR,LAR,7600,23.108332748413087,1
Malik Nabers,WR,NYG,7000,22.44897802130381,1
Bo Nix,QB,DEN,6300,16.25459972302119,1
Courtland Sutton,WR,DEN,6000,20.475600121816,1
Tyler Allgeier,RB,ATL,5000,24.8253324397405,1
Jordan Waters,RB,LAR,4000,27.85000016818444,1
Steelers,DST,PIT,3300,10.0,1
Drew Ogletree,TE,IND,2500,18.37764743853372,1
