name,pos,team,salary,proj_points,lineup_k
B Nix,QB,DEN,6300,22.57280022521814,50
A Gibson,RB,NE,4500,15.713667078018188,50
B Robinson,RB,ATL,8000,15.666333355903625,50
C Sutton,WR,DEN,6000,12.364744409587647,50
J Jennings,WR,SF,4900,15.79333301956455,50
W Robinson,WR,NYG,4500,17.28646673250198,50
P Washington,WR,JAX,3800,16.887666238149006,50
J Smith,TE,PIT,4200,13.002500271373329,50
Cincinnati Bengals,DST,CIN,3600,9.138337656221433,50
