name,pos,team,salary,proj_points,lineup_k
B Nix,QB,DEN,6300,22.57280022521814,41
C McCaffrey,RB,SF,7300,17.87746631761392,41
T Spears,RB,TEN,4700,16.98433306694031,41
C Sutton,WR,DEN,6000,12.364744409587647,41
D Metcalf,WR,PIT,5900,19.976072029855512,41
D Brown,WR,WAS,3100,19.274780794647008,41
J Downs,WR,IND,4600,19.76573314809799,41
J Smith,TE,PIT,4200,13.002500271373329,41
New Orleans Saints,DST,NO,2400,8.940603194730198,41
