name,pos,team,salary,proj_points,lineup_k
M Stafford,QB,LAR,5900,19.59933344205221,30
C McCaffrey,RB,SF,7300,17.87746631761392,30
J Conner,RB,ARI,6100,18.261333196957903,30
D Metcalf,WR,PIT,5900,19.976072029855512,30
A St. Brown,WR,DET,7100,20.853033114194872,30
J Downs,WR,IND,4600,19.76573314809799,30
M Nabers,WR,NYG,7000,20.43223380708695,30
T Higbee,TE,LAR,3400,10.634333545366925,30
Detroit Lions,DST,DET,2700,9.403529795165156,30
