name,pos,team,salary,proj_points,lineup_k
B Nix,QB,DEN,6300,22.57280022521814,44
A Gibson,RB,NE,4500,15.713667078018188,44
T Spears,RB,TEN,4700,16.98433306694031,44
C Sutton,WR,DEN,6000,12.364744409587647,44
D Brown,WR,WAS,3100,19.274780794647008,44
W Robinson,WR,NYG,4500,17.28646673250198,44
P Washington,WR,JAX,3800,16.887666238149006,44
J Smith,TE,PIT,4200,13.002500271373329,44
New Orleans Saints,DST,NO,2400,8.940603194730198,44
