name,pos,team,salary,proj_points,lineup_k
D Lock,QB,SEA,4300,17.815599873860677,26
C McCaffrey,RB,SF,7300,17.87746631761392,26
J Jacobs,RB,GB,6700,19.079266536712645,26
S Diggs,WR,NE,5300,21.978533638424345,26
D Brown,WR,WAS,3100,19.274780794647008,26
A St. Brown,WR,DET,7100,20.853033114194872,26
M Nabers,WR,NYG,7000,20.43223380708695,26
A Barner,TE,SEA,2800,13.226879587583124,26
Jacksonville Jaguars,DST,JAX,3200,8.934521217117954,26
