name,pos,team,salary,proj_points,lineup_k
D Lock,QB,SEA,4300,17.815599873860677,33
J Conner,RB,ARI,6100,18.261333196957903,33
R Stevenson,RB,NE,5400,17.545000076492627,33
D Metcalf,WR,PIT,5900,19.976072029855512,33
J Waddle,WR,MIA,5700,20.539883596923616,33
A St. Brown,WR,DET,7100,20.853033114194872,33
M Nabers,WR,NYG,7000,20.43223380708695,33
A Barner,TE,SEA,2800,13.226879587583124,33
New Orleans Saints,DST,NO,2400,8.940603194730198,33
