name,pos,team,salary,proj_points,lineup_k
Nico Collins,WR,HOU,7400,15.74599995772044,19
Kyler Murray,QB,ARI,6400,16.617599902550378,19
Trey McBride,TE,ARI,6200,11.323555489646065,19
DK Metcalf,WR,PIT,5900,16.917239080641004,19
Rhamondre Stevenson,RB,NE,5400,20.415666405359904,19
Kaleb Johnson,RB,PIT,5300,20.93733353972435,19
Tetairoa McMillan,WR,CAR,5200,20.35918877895673,19
Troy Hairston,RB,CLE,4000,20.332666823069253,19
Broncos,DST,DEN,3800,10.0,19
