name,pos,team,salary,proj_points,lineup_k
Amon-Ra St. Brown,WR,DET,7100,19.66,17
De'Von Achane,RB,MIA,6900,17.99,17
Josh Jacobs,RB,GB,6700,18.12,17
Terry McLaurin,WR,WAS,6200,16.92,17
Joe Mixon,RB,HOU,6200,18.78,17
Stefon Diggs,WR,NE,5300,15.24,17
Joshua Dobbs,QB,NE,4500,18.42,17
Taysom Hill,TE,NO,3700,13.42,17
Packers,DST,GB,2900,8.33,17
