name,pos,team,salary,proj_points,lineup_k
Amon-Ra St. Brown,WR,DET,7100,19.66,20
Malik Nabers,WR,NYG,7000,18.84,20
Baker Mayfield,QB,TB,6600,23.25,20
Mike Evans,WR,TB,6600,17.91,20
James Conner,RB,ARI,6100,17.05,20
Kenneth Walker III,RB,SEA,5900,16.74,20
Broncos,DST,DEN,3800,10.11,20
Tyler Higbee,TE,LAR,3400,11.16,20
Tay Martin,WR,WAS,3000,11.9,20
