name,pos,team,salary,proj_points,lineup_k
Joe Burrow,QB,CIN,6900,23.99,11
Tee Higgins,WR,CIN,6400,19.09,11
Alvin Kamara,RB,NO,6300,19.59,11
Davante Adams,WR,LAR,6100,17.88,11
Kenneth Walker III,RB,SEA,5900,16.74,11
David Montgomery,RB,DET,5700,15.29,11
Adam Thielen,WR,CAR,4700,14.55,11
Broncos,DST,DEN,3800,10.11,11
Taysom Hill,TE,NO,3700,13.42,11
