name,pos,team,salary,proj_points,lineup_k
Joe Burrow,QB,CIN,6900,23.99,14
Tee Higgins,WR,CIN,6400,19.09,14
Joe Mixon,RB,HOU,6200,18.78,14
James Conner,RB,ARI,6100,17.05,14
Chuba Hubbard,RB,CAR,6000,17.11,14
George Kittle,TE,SF,5800,16.57,14
Stefon Diggs,WR,NE,5300,15.24,14
Broncos,DST,DEN,3800,10.11,14
Tay Martin,WR,WAS,3000,11.9,14
