"ID","Name","Position","TeamAbbrev","Salary"
"39505689","Joe Burrow","QB","CIN","6900"
"39505777","Bijan Robinson","RB","ATL","8000"
"39505779","Jahmyr Gibbs","RB","DET","7700"
"39505781","Christian McCaffrey","RB","SF","7300"
"39506085","Ja'Marr Chase","WR","CIN","8100"
"39506087","Puka Nacua","WR","LAR","7600"
"39506089","Nico Collins","WR","HOU","7400"
"39506097","Tyreek Hill","WR","MIA","6700"
